nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-17 23:01:34 /api/dashboard/stats ......................... ~ 0.09ms
  2026-05-17 23:01:35 /dashboard ................................. ~ 500.63ms
  2026-05-17 23:01:35 /api/mesure ................................ ~ 501.71ms
  2026-05-17 23:01:37 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:01:37 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:01:37 / .......................................... ~ 500.69ms
  2026-05-17 23:01:37 /sw.js ........................................... ~ 1s
  2026-05-17 23:01:40 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:01:42 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:01:42 /dashboard ................................. ~ 500.74ms
  2026-05-17 23:01:43 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:01:44 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:01:44 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:01:45 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:01:46 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:01:47 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:01:48 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:01:49 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:01:50 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:01:51 /sms ......................................... ~ 0.13ms
  2026-05-17 23:01:51 /api/mesure ...................................... ~ 1s
  2026-05-17 23:01:53 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:01:54 /api/mesure .................................. ~ 0.12ms
  2026-05-17 23:01:54 /sms ....................................... ~ 500.34ms
  2026-05-17 23:01:54 /api/mesure ...................................... ~ 1s
  2026-05-17 23:01:56 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:01:58 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:02:00 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:02:02 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:02:04 /api/mesure .................................. ~ 0.30ms
  2026-05-17 23:02:06 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:02:08 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:02:10 /api/mesure .................................. ~ 0.21ms
